Company,Tier,Verified Status,LCA Filing Data (latest verified),Relevant Titles & Salary Data,Wage-Level / Lottery Notes,California Presence,Top-20 Priority Rank,Notes / Flags
Altura Associates,A - Warm connections,No H-1B filing history (verified),0 LCAs ever (8+ years); 1 PERM green card FY2020,"Energy Engineer (Sr Analyst) $85,000 (FY2020 PERM)",Would be first-time H-1B filer,Newport Beach/Irvine CA,20,Perfect skills fit (SkySpark/analytics) + local + knows his work; green-card-willing for identical UCI energy profile; H-1B uncertain - discuss directly
Sol Systems,A - Warm connections,"Verified moderate (low-volume, reliable)","FY2025: 3 LCAs (avg $134,796); FY2024: 4; filings most years 2017-2025; 14/14 USCIS approved","Solar Energy Systems Engineer, Environmental Engineer, Electrical Engineer; FY2024 median $72,000",Mixed levels,No CA office (Washington DC),12,100% certified/approved track record; warm connection via UIUC capstone; apply to engineering-titled roles
TSMC Arizona,B - Semiconductor/advanced facilities,Verified strong,FY2025: 135 LCAs + 13 green-card LCs (Arizona Corp); TSMC Technology Inc +54 LCAs,"Materials Engineers (76), Mechanical Engineers (64); FY2025 median $104,000 (90th pct $135,000)",Level II+ likely for mechanical roles,No (Phoenix AZ),9,"Taiwanese/Mandarin background is a differentiator; target Facilities/New Fab Design; entities: TSMC Arizona Corp, TSMC Technology Inc, TSMC Development; intense culture"
Jacobs (Advanced Facilities),B - Semiconductor/advanced facilities,Verified strong,"FY2025: 163 LCAs, 100% approved; 86/86 USCIS approved; ~365 LCAs+LCs groupwide","FY2025 median $94,000 (75th pct $110,250)",Level II achievable,"Yes (LA, Irvine, SF)",5,Advanced Facilities = labs/fabs/data centers; his lab HVAC capstone is a direct credential; avoid confusing with 'Jacobs Corporation' (Harlan IA)
Exyte,B - Semiconductor/advanced facilities,Likely strong (unverified in research),Not verified - check h1bgrader/MyVisaJobs,Cleanroom/fab mechanical design roles,Unknown,"Limited (Portland OR, Phoenix, Austin)",,German parent; fab/cleanroom design-build for TSMC/Intel/Samsung; verify before applying
Intel,B - Semiconductor/advanced facilities,Likely strong (unverified in research),Not verified this cycle - documented large sponsor,Fab facilities/mechanical/process engineering,Level II+ typical,"Yes (Folsom CA; Chandler AZ, Hillsboro OR)",18,Verify current counts; hiring fluctuates with capex cycles
Samsung Austin Semiconductor,B - Semiconductor/advanced facilities,Likely strong (unverified in research),Not verified this cycle,Fab facilities engineering,Level II+ typical,No (Austin/Taylor TX),,Verify current counts
Micron,B - Semiconductor/advanced facilities,Likely strong (unverified in research),Not verified this cycle - documented large sponsor,Fab facilities engineering,Level II+ typical,"No (Boise ID, Clay NY)",18,Verify current counts
Equinix,C - Data centers/hyperscalers,Verified strong (high-wage),FY2025: 113 LCAs + 30 green-card LCs; 836 applications indexed,"Median $134,971 (avg $140,930); FY2026 median $152,792 (90th pct $223,000)",Level III+ common - best lottery odds verified,Yes (Redwood City CA HQ),7,Skews software/IT titles - target data-center engineering roles specifically
Microsoft,C - Data centers/hyperscalers,Strong sponsor generally (title fit narrow; unverified this cycle),Very large filer - not itemized this cycle,Data center critical-environment/facilities roles pay Level II+,High wages,WA + data center regions,,Overwhelmingly software filings; facilities roles exist - search 'critical environment' postings
Google,C - Data centers/hyperscalers,Strong sponsor generally (title fit narrow; unverified this cycle),Very large filer,Data center facilities/energy roles,High wages,Yes (Bay Area),,Same caveat as Microsoft
Amazon Web Services,C - Data centers/hyperscalers,Strong sponsor generally (title fit narrow; unverified this cycle),"Amazon entities combined 30,000+ LCAs FY2025",DC design/ops engineering roles,High wages,Yes + national,,Largest US sponsor; demanding pace
Meta,C - Data centers/hyperscalers,Strong sponsor generally (title fit narrow; unverified this cycle),Very large filer,DC thermal/mechanical engineering,High wages,Yes (Bay Area),,Fewer entry-level facilities openings - watch new-grad postings
Digital Realty,C - Data centers/hyperscalers,Unverified this cycle,Not verified,DC operations/engineering,Unknown,Austin TX; sites national,,Verify LCA history
Arup,D - Building performance/MEP,Verified moderate-strong (best new-grad title fit),"Arup US Inc: 195 LCAs indexed, 13 LCAs FY2026; 304 records on h1bdata","Median ~$109,260-$111,767; titles incl. Graduate Engineer, Graduate Sustainability Consultant, Mechanical Engineer",Level II common,"Yes (SF, LA top cities)",3,"Files genuinely new-grad titles; entities: Arup US Inc, Ove Arup & Partners PC, Arup Texas, Arup North America"
WSP USA (Built Ecology),D - Building performance/MEP,Verified strong,"WSP USA Inc: 264 LCAs FY2025 (263 certified, 99% approval); 'WSP' aggregate 546 LCAs+LCs","FY2026 median $111,488 (75th pct $135,012); Civil Engineers (283) top occupation",Level II achievable,Yes,4,Target Built Ecology (sustainability/building performance); entities: WSP USA Inc / Environment & Infrastructure / Buildings
Buro Happold,D - Building performance/MEP,Unverified this cycle (prior data: 46 LCAs/LCs FY2022-24),See prior verification,Sustainability/building physics roles,Mixed,"Yes (LA, SF Bay Area)",,UK parent normalizes sponsorship; verify current-year filings
Affiliated Engineers (AEI),D - Building performance/MEP,Verified minimal,1 LCA FY2026; ~33 LC+LCA FY2020-22,Lab/healthcare MEP,Unknown,"Yes (SF, LA)",,Great skills fit but very low filing volume - treat as long shot for sponsorship
Syska Hennessy Group,D - Building performance/MEP,Verified minimal (low wage),17 records all-time on h1bdata,"Mechanical Engineer median ~$64,147 (Level I example $61,589)",Level I - poor lottery fit,"Yes (Orange County, LA, SD)",,Local but low volume AND low wage level - deprioritize for lottery odds
Introba,D - Building performance/MEP,Unverified,Not verified,Deep-green MEP/decarbonization,Unknown,"Yes (Oakland, LA, SF)",,Strong skills fit; investigate LCA history
Johnson Controls,E - Building controls OEMs,Verified moderate (weak title fit),45 LCAs FY2025,"FY2025 median $104,125 (75th pct $131,373); top roles Software Developers (72), Cloud Architect",Level II+ wages but software-skewed,National incl. CA,,Building-controls field engineer filings rare; Controls Systems Engineer II appears occasionally
Siemens Smart Infrastructure,E - Building controls OEMs,Likely moderate (unverified; title fit uncertain),Large parent-level filer,Filings concentrate in software/electrical,Level II+,Yes (Cypress CA),,Verify building-automation-specific filings
Schneider Electric,E - Building controls OEMs,Likely moderate (unverified; title fit uncertain),Large parent-level filer,Software/power-electronics skew,Level II+,National incl. CA,,ESS sustainability arm fits GaBi/LCA skills - verify
Trane Technologies,E - Building controls OEMs,Likely moderate (unverified; title fit uncertain),Not itemized,HVAC/controls/energy services,Unknown,National incl. CA,,Verify
NextEra Energy,F - Renewables/energy analytics,Likely moderate (verify entities),Prior data: 55 LCAs FY2025 (NextEra Energy Resources) + affiliates,Engineering/development roles,Level II+ typical,FL HQ; national projects,,Files under multiple entities - aggregate
EDF Renewables North America,F - Renewables/energy analytics,Likely moderate (unverified this cycle),Not itemized,Engineering/development roles,Unknown,Yes (San Diego HQ),,French parent; SoCal HQ advantage
Invenergy,F - Renewables/energy analytics,Likely moderate (unverified this cycle),Not itemized,Engineering/development roles,Unknown,No (Chicago HQ),,Documented regular clean-energy sponsor
DNV,F - Renewables/energy analytics,Verified moderate,Appears among Energy Engineer sponsors,"Sr Consultant Energy Engineering Economics $115,000 (Seattle example)",Level II+,"Yes (Oakland, San Diego)",11,Norwegian parent; energy-analyst roles reward Python/modeling
Lawrence Berkeley National Lab (BTUS),G - Cap-exempt (NO LOTTERY),Cap-exempt - verified,480 LCAs + 19 green-card LCs FY2022-24; 41 LCAs FY2024,"FY2024 median $114,000; ~100% LCA approval",N/A - no lottery,Yes (Berkeley CA),1,Premier US building-energy research group; exceptional skills match; confirm role is open to non-citizens
NREL,G - Cap-exempt (NO LOTTERY),Cap-exempt - verified status,Recent counts thin but cap-exempt confirmed,Building energy + renewables research,N/A - no lottery,No (Golden CO),8,PV-circularity research also matches his recycling study
PNNL,G - Cap-exempt (NO LOTTERY),Cap-exempt by status,Not itemized,"Building controls, grid-interactive buildings",N/A,No (Richland WA),14,Some roles carry citizenship/clearance limits - target open buildings research
UC system energy/facilities (incl. UC Irvine),G - Cap-exempt (NO LOTTERY),Cap-exempt by status (higher-ed),N/A,"Campus energy management, building analytics",N/A,Yes (statewide),6,Local option; his capstone was on UCI lab buildings - natural inquiry
Salas O'Brien,H - MEP/AE firms,Verified low-volume sponsor,"3 LCA filings, 100% approval","Avg $112,333; posts state 'track record of offering H1B sponsorships'",Level II achievable,Yes,13,Entities: Salas O'Brien Inc; KPW Structural dba; Salas O'Brien Engineers
Henderson Engineers,H - MEP/AE firms,Unverified,Not itemized,MEP,Unknown,Limited,,Verify individually
R.G. Vanderweil Engineers,H - MEP/AE firms,Unverified,Not itemized,Labs/healthcare/mission-critical MEP,Unknown,No (Boston),,Verify
BR+A Consulting Engineers,H - MEP/AE firms,Unverified,Not itemized,Labs/healthcare MEP,Unknown,No (Boston),,Verify
Cosentini Associates,H - MEP/AE firms,Unverified,Not itemized,High-rise MEP,Unknown,No (NYC),,Verify
ESD / Stantec Mission Critical,H - MEP/AE firms,Known sponsor (Stantec entity),Stantec files under several entities - large overall,Data center MEP,Mixed,Chicago + Stantec CA offices,,Aggregate Stantec entities
IMEG,H - MEP/AE firms,Unverified,Not itemized,MEP + civil,Unknown,Yes (CA offices),,Verify
EXP,H - MEP/AE firms,Unverified,Not itemized,Buildings engineering,Unknown,Yes,,Verify
SmithGroup,H - MEP/AE firms,Unverified,Not itemized,Labs/higher-ed A/E,Unknown,"Yes (SF, LA)",,Verify
HOK,H - MEP/AE firms,Unverified,Not itemized,Integrated A/E,Unknown,"Yes (SF, LA)",,Verify
CannonDesign,H - MEP/AE firms,Unverified,Not itemized,A/E healthcare/education,Unknown,Yes (LA),,Verify
HGA,H - MEP/AE firms,Unverified (senior-role evidence only),Not itemized,"Sr Building Performance Engineer posting $121K-$161.2K (senior, not new-grad)",Level III+ for senior roles,"Yes (Sacramento, SF, LA)",,Posting evidence is senior-level; new-grad sponsorship unclear
Mazzetti,H - MEP/AE firms,Unverified,Not itemized,Healthcare MEP/sustainability,Unknown,Yes (SF),,Verify
PAE Engineers,H - MEP/AE firms,Unverified,Not itemized,Deep-green MEP,Unknown,Yes (SF),,Verify
Dewberry,H - MEP/AE firms,Unverified,Not itemized,A/E facilities/resilience,Unknown,Limited,,Verify
McKinstry,I - Commissioning/energy services,Unverified; likely moderate,Not itemized,Design-build energy/commissioning,Unknown,No (Seattle; some CA work),,Verify
kW Engineering,I - Commissioning/energy services,Verified minimal-volume (good fit),"FY2025: 2 LCAs + 1 LC, all certified; FY2026: 0","Historical: Mechanical Engineers (7), Energy Engineers (1)",Likely Level I-II,Yes (Oakland CA),16,"SkySpark shop, exact fit, tiny volume - relationship-driven path"
Clockworks Analytics,I - Commissioning/energy services,Unverified; likely too small,Not itemized,FDD/BMS analytics software,Unknown,No (Boston),,Excellent skills match but startup-scale sponsorship risk
Facility Dynamics Engineering,I - Commissioning/energy services,Unverified,Not itemized,Commissioning,Unknown,Limited,,Verify
ENGIE North America,I - Commissioning/energy services,Unverified this cycle,Not itemized,"Energy services, campus energy (univ. P3s)",Unknown,CA campus projects,,Verify
